,Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
0,Spider-Man (2002),http://www.imdb.com/title/tt0145487/,7.3,73.0,121,139000000.0,114844116.0,407022860.0,825025036.0,2002-05-03,PG-13,Action Adventure Sci-Fi,USA
2,The Matrix (1999),http://www.imdb.com/title/tt0133093/,8.7,73.0,136,63000000.0,27788331.0,171479930.0,465343787.0,1999-03-31,R,Action Sci-Fi,USA
4,The Lord of the Rings: The Fellowship of the Ring (2001),http://www.imdb.com/title/tt0120737/,8.8,92.0,178,93000000.0,47211490.0,315544750.0,887832826.0,2001-12-19,PG-13,Action Adventure Drama,New Zealand
6,The Lord of the Rings: The Return of the King (2003),http://www.imdb.com/title/tt0167260/,8.9,94.0,201,94000000.0,72629713.0,377845905.0,1142219401.0,2003-12-17,PG-13,Adventure Drama Fantasy,New Zealand
8,The Hobbit: The Desolation of Smaug (2013),http://www.imdb.com/title/tt1170358/,7.8,66.0,161,225000000.0,73645197.0,258366855.0,958366855.0,2013-12-13,PG-13,Adventure Fantasy,New Zealand
10,Back to the Future (1985),http://www.imdb.com/title/tt0088763/,8.5,87.0,116,19000000.0,11152500.0,211159762.0,391341971.0,1985-07-03,PG,Adventure Comedy Sci-Fi,USA
12,Lethal Weapon (1987),http://www.imdb.com/title/tt0093409/,7.6,68.0,109,15000000.0,6829949.0,65207127.0,120207127.0,1987-03-06,R,Action Crime Thriller,USA
14,Lethal Weapon 3 (1992),http://www.imdb.com/title/tt0104714/,6.7,40.0,118,35000000.0,33243086.0,144731527.0,321731527.0,1992-05-15,R,Action Crime Thriller,USA
16,Die Hard (1988),http://www.imdb.com/title/tt0095016/,8.2,72.0,132,28000000.0,601851.0,83519093.0,141482154.0,1988-07-20,R,Action Thriller,USA
18,Die Hard with a Vengeance (1995),http://www.imdb.com/title/tt0112864/,7.6,58.0,128,90000000.0,22162245.0,100012499.0,366236538.0,1995-05-19,R,Action Adventure Thriller,USA
20,Mad Max (1979),http://www.imdb.com/title/tt0079501/,6.9,73.0,88,300000.0,,8750000.0,8771757.0,1980-03-21,R,Action Adventure Sci-Fi,Australia
22,Mad Max Beyond Thunderdome (1985),http://www.imdb.com/title/tt0089530/,6.3,71.0,107,10000000.0,7283714.0,36230219.0,36230219.0,1985-07-10,PG-13,Action Adventure Sci-Fi,Australia
24,Rocky (1976),http://www.imdb.com/title/tt0075148/,8.1,70.0,120,960000.0,,117235147.0,117235147.0,1976-12-03,PG,Drama Sport,USA
26,Rocky III (1982),http://www.imdb.com/title/tt0084602/,6.8,57.0,99,17000000.0,12431486.0,125049125.0,125049125.0,1982-05-28,PG,Drama Sport,USA
28,Rocky V (1990),http://www.imdb.com/title/tt0100507/,5.3,55.0,104,42000000.0,14073170.0,40946358.0,119946358.0,1990-11-16,PG-13,Drama Sport,USA
30,First Blood (1982),http://www.imdb.com/title/tt0083944/,7.7,61.0,93,15000000.0,6642005.0,47212904.0,125212904.0,1982-10-22,R,Action Adventure,USA
32,Rambo III (1988),http://www.imdb.com/title/tt0095956/,5.8,36.0,102,63000000.0,13034238.0,53715611.0,189015611.0,1988-05-25,R,Action Adventure,USA
34,The Terminator (1984),http://www.imdb.com/title/tt0088247/,8.0,84.0,107,6400000.0,4020663.0,38371200.0,78475971.0,1984-10-26,R,Action Sci-Fi,UK
36,Terminator 3: Rise of the Machines (2003),http://www.imdb.com/title/tt0181852/,6.3,66.0,109,200000000.0,44041440.0,150371112.0,433371112.0,2003-07-02,R,Action Sci-Fi,USA
38,Terminator Genisys (2015),https://www.imdb.com/title/tt6450804/,6.4,38.0,126,155000000.0,27018486.0,89760956.0,440603537.0,2015-07-01,PG-13,Action Adventure Sci-Fi,USA
40,RoboCop (1987),http://www.imdb.com/title/tt0093870/,7.5,67.0,102,13000000.0,8008721.0,53424681.0,53424681.0,1987-07-17,R,Action Crime Sci-Fi,USA
42,X-Men (2000),http://www.imdb.com/title/tt0120903/,7.4,64.0,104,75000000.0,54471475.0,157299718.0,296339528.0,2000-07-14,PG-13,Action Adventure Sci-Fi,USA
44,X-Men: The Last Stand (2006),http://www.imdb.com/title/tt0376994/,6.7,58.0,104,210000000.0,102750665.0,234362462.0,460435291.0,2006-05-26,PG-13,Action Adventure Sci-Fi,Canada
46,X-Men: Days of Future Past (2014),http://www.imdb.com/title/tt1877832/,8.0,75.0,132,200000000.0,90823660.0,233921534.0,746045700.0,2014-05-23,PG-13,Action Adventure Sci-Fi,USA
48,X-Men Origins: Wolverine (2009),http://www.imdb.com/title/tt0458525/,6.6,40.0,107,150000000.0,85058003.0,179883157.0,373062864.0,2009-05-01,PG-13,Action Adventure Sci-Fi,USA
50,The Fast and the Furious (2001),http://www.imdb.com/title/tt0232500/,6.8,58.0,106,38000000.0,40089015.0,144533925.0,214463726.0,2001-06-22,PG-13,Action Crime Thriller,USA
52,The Fast and the Furious: Tokyo Drift (2006),http://www.imdb.com/title/tt0463985/,6.0,45.0,104,85000000.0,23973840.0,62514415.0,158964610.0,2006-06-16,PG-13,Action Crime Thriller,USA
54,Fast Five (2011),http://www.imdb.com/title/tt1596343/,7.3,66.0,130,125000000.0,86198765.0,209837675.0,626137675.0,2011-04-29,PG-13,Action Adventure Crime,USA
56,Furious 7 (2015),http://www.imdb.com/title/tt2820852/,7.1,67.0,137,190000000.0,147187040.0,353007020.0,1515047671.0,2015-04-03,PG-13,Action Adventure Thriller,USA
58,xXx (2002),http://www.imdb.com/title/tt0295701/,5.9,48.0,124,70000000.0,44506103.0,142109382.0,277448382.0,2002-08-09,PG-13,Action Adventure Thriller,USA
60,Pitch Black (2000),http://www.imdb.com/title/tt0134847/,7.1,49.0,109,23000000.0,11577688.0,39240659.0,53187659.0,2000-02-18,R,Action Horror Sci-Fi,USA
62,The Transporter (2002),http://www.imdb.com/title/tt0293662/,6.8,51.0,92,21000000.0,9107816.0,25296447.0,43928932.0,2002-10-11,PG-13,Action Crime Thriller,France
64,Transporter 3 (2008),http://www.imdb.com/title/tt1129442/,6.1,51.0,104,30000000.0,12063452.0,31715062.0,108979549.0,2008-11-26,PG-13,Action Thriller,France
66,Crank (2006),http://www.imdb.com/title/tt0479884/,6.9,57.0,88,12000000.0,10457367.0,27838408.0,42931041.0,2006-09-01,R,Action Crime Thriller,USA
68,Alien (1979),http://www.imdb.com/title/tt0078748/,8.4,89.0,117,11000000.0,3527881.0,81765459.0,108283202.0,1979-06-22,R,Horror Sci-Fi,UK
70,Alien 3 (1992),http://www.imdb.com/title/tt0103644/,6.5,59.0,114,50000000.0,19449867.0,55473545.0,159814498.0,1992-05-22,R,Action Horror Sci-Fi,USA
72,Alien vs. Predator (2004),http://www.imdb.com/title/tt0370263/,5.6,29.0,101,60000000.0,38291056.0,80282231.0,177427090.0,2004-08-13,PG-13,Action Adventure Horror,USA
74,Predator (1987),http://www.imdb.com/title/tt0093773/,7.8,45.0,107,15000000.0,12031638.0,59735548.0,98399956.0,1987-06-12,R,Action Adventure Sci-Fi,USA
76,Predators (2010),http://www.imdb.com/title/tt1424381/,6.4,51.0,107,40000000.0,24760882.0,52000688.0,127233108.0,2010-07-09,R,Action Adventure Sci-Fi,USA
78,The Evil Dead (1981),http://www.imdb.com/title/tt0083907/,7.5,71.0,85,350000.0,,2400000.0,2893091.0,1983-04-15,R,Horror,USA
80,Saw (2004),http://www.imdb.com/title/tt0387564/,7.6,46.0,103,1200000.0,18276468.0,56000369.0,103911669.0,2004-10-29,R,Horror Mystery,USA
82,Saw III (2006),http://www.imdb.com/title/tt0489270/,6.2,48.0,108,10000000.0,33610391.0,80238724.0,164874275.0,2006-10-27,R,Horror Mystery Thriller,USA
84,Saw V (2008),http://www.imdb.com/title/tt1132626/,5.8,20.0,92,10800000.0,30053954.0,56746769.0,113864059.0,2008-10-24,R,Horror Mystery,USA
86,Species (1995),http://www.imdb.com/title/tt0114508/,5.8,49.0,108,35000000.0,17161943.0,60074103.0,113374103.0,1995-07-07,R,Action Horror Sci-Fi,USA
88,Scream (1996),http://www.imdb.com/title/tt0117571/,7.2,65.0,111,14000000.0,6354586.0,103046663.0,173046663.0,1996-12-20,R,Horror Mystery,USA
90,Scream 3 (2000),http://www.imdb.com/title/tt0134084/,5.6,56.0,116,40000000.0,34713342.0,89143175.0,161834276.0,2000-02-04,R,Horror Mystery,USA
92,Final Destination (2000),http://www.imdb.com/title/tt0195714/,6.7,36.0,98,23000000.0,10015822.0,53331147.0,112880294.0,2000-03-17,R,Horror Thriller,USA
94,Final Destination 3 (2006),http://www.imdb.com/title/tt0414982/,5.8,41.0,93,25000000.0,20125000.0,54098051.0,118890272.0,2006-02-10,R,Fantasy Horror Thriller,USA
96,Underworld (2003),http://www.imdb.com/title/tt0320691/,7.0,42.0,121,22000000.0,21753759.0,51970690.0,95708457.0,2003-09-19,R,Action Fantasy Thriller,USA
98,Underworld: Rise of the Lycans (2009),http://www.imdb.com/title/tt0834001/,6.6,44.0,92,35000000.0,20828511.0,45802315.0,92158961.0,2009-01-23,R,Action Fantasy Thriller,USA
100,Transformers (2007),http://www.imdb.com/title/tt0418279/,7.0,61.0,144,150000000.0,70502384.0,319246193.0,709709780.0,2007-07-03,PG-13,Action Adventure Sci-Fi,USA
102,Transformers: Dark of the Moon (2011),http://www.imdb.com/title/tt1399103/,6.2,42.0,154,195000000.0,97852865.0,352390543.0,1123794079.0,2011-06-29,PG-13,Action Adventure Sci-Fi,USA
104,Transformers: The Last Knight (2017),https://www.imdb.com/title/tt3371366/,5.2,27.0,154,217000000.0,44680073.0,130168683.0,605425157.0,2017-06-21,PG-13,Action Adventure Sci-Fi,USA
106,American Pie (1999),http://www.imdb.com/title/tt0163651/,7.0,58.0,95,11000000.0,18709680.0,102561004.0,235483004.0,1999-07-09,R,Comedy,USA
108,American Wedding (2003),http://www.imdb.com/title/tt0328828/,6.3,43.0,96,55000000.0,33369440.0,104565114.0,232722935.0,2003-08-01,R,Comedy,USA
110,Fantastic Four (2005),http://www.imdb.com/title/tt0120667/,5.7,40.0,106,100000000.0,56061504.0,154696080.0,333535934.0,2005-07-08,PG-13,Action Adventure Family,USA
112,Hulk (2003),http://www.imdb.com/title/tt0286716/,5.6,54.0,138,137000000.0,62128420.0,132177234.0,245285165.0,2003-06-20,PG-13,Action Sci-Fi,USA
114,Superman (1978),http://www.imdb.com/title/tt0078346/,7.3,80.0,143,55000000.0,7465343.0,134451603.0,300451603.0,1978-12-15,PG,Action Adventure Drama,USA
116,Superman III (1983),http://www.imdb.com/title/tt0086393/,5.0,44.0,125,39000000.0,13352357.0,59950623.0,59950623.0,1983-06-17,PG,Action Adventure Comedy,UK
118,Urban Legend (1998),https://www.imdb.com/title/tt0146336/,5.6,35.0,99,14000000.0,10515444.0,38072438.0,72527595.0,1998-09-25,R,Horror Mystery Thriller,USA
120,The Punisher (2004),http://www.imdb.com/title/tt0330793/,6.4,33.0,124,33000000.0,14000000.0,33810189.0,54700105.0,2004-04-16,R,Action Crime Drama,USA
122,Batman (1989),http://www.imdb.com/title/tt0096895/,7.5,69.0,126,35000000.0,40489746.0,251348343.0,411556825.0,1989-06-23,PG-13,Action Adventure,USA
124,Batman Forever (1995),http://www.imdb.com/title/tt0112462/,5.4,51.0,121,100000000.0,52784433.0,184069126.0,336567531.0,1995-06-16,PG-13,Action Adventure,USA
126,Batman Begins (2005),http://www.imdb.com/title/tt0372784/,8.2,70.0,140,150000000.0,48745440.0,206852432.0,373465751.0,2005-06-15,PG-13,Action Adventure,USA
128,Hellboy (2004),http://www.imdb.com/title/tt0167190/,6.8,72.0,122,66000000.0,23172440.0,59623958.0,99378985.0,2004-04-02,PG-13,Action Fantasy Horror,USA
130,Blade (1998),http://www.imdb.com/title/tt0120611/,7.1,45.0,120,45000000.0,17073856.0,70087718.0,131183530.0,1998-08-21,R,Action Horror Sci-Fi,USA
132,Daredevil (2003),http://www.imdb.com/title/tt0287978/,5.3,42.0,103,78000000.0,40310419.0,102543518.0,179179718.0,2003-02-14,PG-13,Action Crime,USA
134,The Crow (1994),http://www.imdb.com/title/tt0109506/,7.6,71.0,102,23000000.0,11774332.0,50693129.0,50693129.0,1994-05-13,R,Action Drama Fantasy,USA
136,Men in Black (1997),http://www.imdb.com/title/tt0119654/,7.3,71.0,98,90000000.0,51068455.0,250690539.0,589390539.0,1997-07-02,PG-13,Action Adventure Comedy,USA
138,Men in Black 3 (2012),http://www.imdb.com/title/tt1409024/,6.8,58.0,106,225000000.0,54592779.0,179020854.0,624026776.0,2012-05-25,PG-13,Action Adventure Comedy,USA
140,Resident Evil (2002),http://www.imdb.com/title/tt0120804/,6.7,33.0,100,33000000.0,17707106.0,40119709.0,102984862.0,2002-03-15,R,Action Horror Sci-Fi,UK
142,Resident Evil: Extinction (2007),http://www.imdb.com/title/tt0432021/,6.3,41.0,94,45000000.0,23678580.0,50648679.0,147717833.0,2007-09-21,R,Action Horror Sci-Fi,France
144,Resident Evil: Retribution (2012),http://www.imdb.com/title/tt1855325/,5.4,39.0,95,65000000.0,21052227.0,42345531.0,240159255.0,2012-09-14,R,Action Horror Sci-Fi,Germany
146,Spy Kids (2001),http://www.imdb.com/title/tt0227538/,5.5,71.0,88,35000000.0,26546881.0,112719001.0,147934180.0,2001-03-30,PG,Action Adventure Comedy,USA
148,Spy Kids 3-D: Game Over (2003),http://www.imdb.com/title/tt0338459/,4.3,57.0,84,38000000.0,32500000.0,111761982.0,197101678.0,2003-07-25,PG,Action Adventure Comedy,USA
150,I Know What You Did Last Summer (1997),http://www.imdb.com/title/tt0119345/,5.7,52.0,101,17000000.0,15818645.0,72586134.0,125586134.0,1997-10-17,R,Horror Mystery,USA
152,Garfield (2004),http://www.imdb.com/title/tt0356634/,5.0,27.0,80,50000000.0,21727611.0,75369589.0,203172417.0,2004-06-11,PG,Animation Comedy Family,USA
154,Iron Man (2008),http://www.imdb.com/title/tt0371746/,7.9,79.0,126,140000000.0,98618668.0,318604126.0,585366247.0,2008-05-02,PG-13,Action Adventure Sci-Fi,USA
156,Shrek (2001),http://www.imdb.com/title/tt0126029/,7.8,84.0,90,60000000.0,42347760.0,267665011.0,487853320.0,2001-05-18,PG,Animation Adventure Comedy,USA
158,Shrek the Third (2007),http://www.imdb.com/title/tt0413267/,6.1,58.0,93,160000000.0,121629270.0,322719944.0,813367380.0,2007-05-18,PG,Animation Adventure Comedy,USA
160,Jurassic Park (1993),http://www.imdb.com/title/tt0107290/,8.1,68.0,127,63000000.0,47026828.0,402828120.0,1032020521.0,1993-06-11,PG-13,Action Adventure Sci-Fi,USA
162,Jurassic Park III (2001),http://www.imdb.com/title/tt0163025/,5.9,42.0,92,93000000.0,50771645.0,181171875.0,368780809.0,2001-07-18,PG-13,Action Adventure Sci-Fi,USA
164,Raiders of the Lost Ark (1981),http://www.imdb.com/title/tt0082971/,8.4,85.0,115,18000000.0,8305823.0,248159971.0,390133212.0,1981-06-12,PG,Action Adventure,USA
166,Indiana Jones and the Last Crusade (1989),http://www.imdb.com/title/tt0097576/,8.2,65.0,127,48000000.0,29355021.0,197171806.0,474310887.0,1989-05-24,PG-13,Action Adventure,USA
168,Star Wars: Episode I - The Phantom Menace (1999),http://www.imdb.com/title/tt0120915/,6.5,51.0,136,115000000.0,64820970.0,474544677.0,1027082707.0,1999-05-19,PG,Action Adventure Fantasy,USA
170,Star Wars: Episode IV - A New Hope (1977),http://www.imdb.com/title/tt0076759/,8.6,90.0,121,11000000.0,1554475.0,460998507.0,775512064.0,1977-05-25,PG,Action Adventure Fantasy,USA
172,Star Wars: Episode VI - Return of the Jedi (1983),http://www.imdb.com/title/tt0086190/,8.3,58.0,131,32500000.0,23019618.0,309306177.0,475347111.0,1983-05-25,PG,Action Adventure Fantasy,USA
174,Star Wars: Episode VIII - The Last Jedi (2017),https://www.imdb.com/title/tt2527338/,7.0,84.0,152,317000000.0,220009584.0,620181382.0,1332539889.0,2017-12-15,PG-13,Action Adventure Fantasy,USA
176,Austin Powers: The Spy Who Shagged Me (1999),http://www.imdb.com/title/tt0145660/,6.6,59.0,95,33000000.0,17981900.0,206040086.0,312016928.0,1999-06-11,PG-13,Action Adventure Comedy,USA
178,Twilight (2008),http://www.imdb.com/title/tt1099212/,5.2,56.0,122,37000000.0,69637740.0,193962473.0,408424673.0,2008-11-21,PG-13,Drama Fantasy Romance,USA
180,The Twilight Saga: Breaking Dawn - Part 1 (2011),http://www.imdb.com/title/tt1324999/,4.9,45.0,117,110000000.0,138122261.0,281287133.0,712205856.0,2011-11-18,PG-13,Adventure Drama Fantasy,USA
182,Kill Bill: Vol. 1 (2003),http://www.imdb.com/title/tt0266697/,8.1,69.0,111,30000000.0,22200000.0,70099045.0,180899045.0,2003-10-10,R,Action Crime Thriller,USA
184,The Mask of Zorro (1998),http://www.imdb.com/title/tt0120746/,6.7,63.0,136,95000000.0,22525855.0,94095523.0,250288523.0,1998-07-17,PG-13,Action Adventure Comedy,USA
186,Ghostbusters (1984),http://www.imdb.com/title/tt0087332/,7.8,71.0,105,30000000.0,13578151.0,242582079.0,295743767.0,1984-06-08,PG,Action Comedy Fantasy,USA
188,The Santa Clause (1994),http://www.imdb.com/title/tt0111070/,6.5,57.0,97,22000000.0,19321992.0,144833357.0,189833357.0,1994-11-11,PG,Comedy Drama Family,USA
190,Doctor Dolittle (1998),http://www.imdb.com/title/tt0118998/,5.4,46.0,85,71500000.0,29014324.0,144156605.0,294456605.0,1998-06-26,PG-13,Comedy Family Fantasy,USA
192,The Nutty Professor (1996),http://www.imdb.com/title/tt0117218/,5.6,62.0,95,54000000.0,25411725.0,128814019.0,273961019.0,1996-06-28,PG-13,Comedy Romance Sci-Fi,USA
194,Beverly Hills Cop (1984),http://www.imdb.com/title/tt0086960/,7.3,66.0,105,14000000.0,15214805.0,234760478.0,316360478.0,1984-12-05,R,Action Comedy Crime,USA
196,48 Hrs. (1982),http://www.imdb.com/title/tt0083511/,6.9,71.0,96,12000000.0,4369868.0,78868508.0,78868508.0,1982-12-08,R,Action Comedy Crime,USA
198,Father of the Bride (1991),http://www.imdb.com/title/tt0101862/,6.5,51.0,105,20000000.0,7031146.0,89325780.0,89325780.0,1991-12-20,PG,Comedy Family Romance,USA
200,Speed (1994),http://www.imdb.com/title/tt0111257/,7.2,78.0,116,30000000.0,14456194.0,121248145.0,350448145.0,1994-06-10,R,Action Adventure Thriller,USA
202,Scary Movie (2000),http://www.imdb.com/title/tt0175142/,6.2,48.0,88,19000000.0,42346669.0,157019771.0,278019771.0,2000-07-07,R,Comedy,USA
204,Scary Movie 3 (2003),http://www.imdb.com/title/tt0306047/,5.5,49.0,84,48000000.0,49700000.0,110003217.0,220673217.0,2003-10-24,PG-13,Comedy Horror,USA
206,The Ring (2002),http://www.imdb.com/title/tt0298130/,7.1,57.0,115,48000000.0,15015393.0,129128133.0,249348933.0,2002-10-18,PG-13,Horror Mystery,USA
208,The Texas Chainsaw Massacre 2 (1986),http://www.imdb.com/title/tt0092076/,5.6,42.0,89,4700000.0,2822439.0,8025872.0,8025872.0,1986-08-22,R,Comedy Horror,USA
210,The Texas Chainsaw Massacre (2003),http://www.imdb.com/title/tt0324216/,6.2,38.0,98,9500000.0,29100000.0,80571655.0,107362708.0,2003-10-17,R,Horror,USA
212,Meet the Parents (2000),http://www.imdb.com/title/tt0212338/,7.0,73.0,108,55000000.0,28623300.0,166244045.0,330444045.0,2000-10-06,PG-13,Comedy Romance,USA
214,Shanghai Noon (2000),http://www.imdb.com/title/tt0184894/,6.6,77.0,110,55000000.0,15607034.0,56937502.0,99274467.0,2000-05-26,PG-13,Action Adventure Comedy,USA
216,Anaconda (1997),http://www.imdb.com/title/tt0118615/,4.8,37.0,89,45000000.0,16620887.0,65885767.0,136885767.0,1997-04-11,PG-13,Action Adventure Horror,USA
218,Walking Tall (1973),http://www.imdb.com/title/tt0070895/,7.0,60.0,125,500000.0,,,40000000.0,1973-02-22,R,Action Biography Crime,USA
220,Hostel (2005),http://www.imdb.com/title/tt0450278/,5.9,55.0,94,4800000.0,19556099.0,47326473.0,81979826.0,2006-01-06,R,Horror,USA
222,Charlie's Angels (2000),http://www.imdb.com/title/tt0160127/,5.5,52.0,98,93000000.0,40128550.0,125305545.0,264105545.0,2000-11-03,PG-13,Action Adventure Comedy,USA
224,Bad Boys (1995),http://www.imdb.com/title/tt0112442/,6.9,41.0,119,19000000.0,15523358.0,65807024.0,141407024.0,1995-04-07,R,Action Comedy Crime,USA
226,Big Momma's House (2000),http://www.imdb.com/title/tt0208003/,5.2,33.0,99,30000000.0,25661041.0,117559438.0,173959438.0,2000-06-02,PG-13,Action Comedy Crime,Germany
228,The Grudge (2004),http://www.imdb.com/title/tt0391198/,5.9,49.0,91,10000000.0,39128715.0,110359362.0,187281115.0,2004-10-22,PG-13,Horror Mystery Thriller,USA
230,National Lampoon's Van Wilder (2002),http://www.imdb.com/title/tt0283111/,6.4,26.0,92,5000000.0,7302913.0,21305259.0,38275483.0,2002-04-05,R,Comedy Romance,Germany
232,Harold & Kumar Go to White Castle (2004),http://www.imdb.com/title/tt0366551/,7.1,64.0,88,9000000.0,5200000.0,18250550.0,23936908.0,2004-07-30,R,Adventure Comedy,USA
234,Ice Age (2002),http://www.imdb.com/title/tt0268380/,7.5,60.0,81,59000000.0,46312454.0,176387405.0,383257136.0,2002-03-15,PG,Animation Adventure Comedy,USA
236,Ice Age: Dawn of the Dinosaurs (2009),http://www.imdb.com/title/tt1080016/,6.9,50.0,94,90000000.0,41690382.0,196573705.0,886686817.0,2009-07-01,PG,Animation Adventure Comedy,USA
238,Madagascar (2005),http://www.imdb.com/title/tt0351283/,6.9,57.0,86,75000000.0,47224594.0,193595521.0,542063846.0,2005-05-27,PG,Animation Adventure Comedy,USA
240,Kung Fu Panda (2008),http://www.imdb.com/title/tt0441773/,7.5,74.0,92,130000000.0,60239130.0,215434591.0,631746197.0,2008-06-06,PG,Animation Action Adventure,USA
242,The Lion King (1994),http://www.imdb.com/title/tt0110357/,8.5,88.0,88,45000000.0,1586753.0,422783777.0,968511805.0,1994-06-24,G,Animation Adventure Drama,USA
244,The Princess Diaries (2001),http://www.imdb.com/title/tt0247638/,6.3,52.0,111,26000000.0,22862269.0,108248956.0,165335153.0,2001-08-03,G,Comedy Family Romance,USA
246,Bridget Jones's Diary (2001),http://www.imdb.com/title/tt0243155/,6.7,66.0,97,25000000.0,10733933.0,71543427.0,281929795.0,2001-04-13,R,Comedy Drama Romance,UK
248,The Bourne Identity (2002),http://www.imdb.com/title/tt0258463/,7.9,68.0,119,60000000.0,27118640.0,121661683.0,214034224.0,2002-06-14,PG-13,Action Mystery Thriller,USA
250,The Bourne Ultimatum (2007),http://www.imdb.com/title/tt0440963/,8.0,85.0,115,110000000.0,69283690.0,227471070.0,444100035.0,2007-08-03,PG-13,Action Mystery Thriller,USA
252,Clash of the Titans (2010),http://www.imdb.com/title/tt0800320/,5.8,39.0,106,125000000.0,61235105.0,163214888.0,493214993.0,2010-04-02,PG-13,Action Adventure Fantasy,USA
254,Halloween (1978),http://www.imdb.com/title/tt0077651/,7.8,87.0,91,325000.0,,47000000.0,47000000.0,1978-10-27,R,Horror Thriller,USA
256,Halloween III: Season of the Witch (1982),http://www.imdb.com/title/tt0085636/,4.9,50.0,98,2500000.0,6333259.0,14400000.0,14400000.0,1982-10-22,R,Horror Mystery Sci-Fi,USA
258,Halloween 5: The Revenge of Michael Myers (1989),http://www.imdb.com/title/tt0097474/,5.2,28.0,96,5000000.0,5093428.0,11642254.0,11642254.0,1989-10-13,R,Horror Thriller,USA
260,Halloween H20: 20 Years Later (1998),http://www.imdb.com/title/tt0120694/,5.8,52.0,86,17000000.0,16187724.0,55041738.0,55041738.0,1998-08-05,R,Horror Thriller,USA
